Material,Plant,Vendor,Week,ForecastQty,WIP,Stock,MRP BACKLOG,Price from Info Record,Price unit,Currency from Info Record,Safety Stock,ConsumptionQty,Deviation,DeviationPercent
0J004053,MA10,0,W05-25,820.0,8452.468,0.0,0.0,0.0,0.0,0,0.0,5022.5,4202.5,512.5
0J004073,MA10,0,W05-25,768.75,2022.456,9660.0,0.0,0.0,0.0,0,0.0,4920.0,4151.25,540.0
0S703980,MA10,0,W05-25,730.0,302.909,9990.0,0.0,0.0,0.0,0,0.0,1095.0,365.0,50.0
0S703990,MA10,0,W05-25,730.0,6137.239,0.0,0.0,0.0,0.0,0,0.0,1095.0,365.0,50.0
1J206900,MA10,0,W05-25,23007.155,32444.418,12301.0,2.462,0.0,0.0,0,0.0,38621.9,15614.745000000003,67.8690824658677
1J206904,MA10,0,W05-25,22149.501,28958.475,12500.0,39.472,0.0,0.0,0,0.0,30249.2999999999,8099.798999999901,36.56876513832027
1J206933,MA10,0,W05-25,12760.914,13311.703,0.0,38.0,0.0,0.0,0,0.0,21170.8499999999,8409.9359999999,65.90386864138335
1J206934,MA10,0,W05-25,6982.556,6083.728,0.0,0.0,0.0,0.0,0,0.0,8387.2,1404.6440000000011,20.11647310812833
1J206954,MA10,0,W05-25,10736.838,11975.171,11937.0,250.0,0.0,0.0,0,0.0,15355.1,4618.262000000001,43.01324095604312
1J206964,MA10,0,W05-25,5950.909,12043.683,0.0,0.0,0.0,0.0,0,0.0,11833.4,5882.491,98.85029329132743
1J206974,MA10,0,W05-25,6828.605,14841.63,0.0,0.0,0.0,0.0,0,0.0,10151.5,3322.8950000000004,48.66140302448304
1J206976,MA10,0,W05-25,28649.075,12967.927,14850.0,0.0,0.0,0.0,0,0.0,69055.524,40406.44900000001,141.0392796277018
1J206984,MA10,0,W05-25,9362.506,12009.958,0.0,0.0,0.0,0.0,0,0.0,17076.5,7713.994000000001,82.39240647749652
1J206994,MA10,0,W05-25,28899.668,21202.184,0.0,0.0,0.0,0.0,0,0.0,49107.1019999999,20207.433999999896,69.92272021948452
1J2069DH,MA10,0,W05-25,27109.394,10714.354,24920.0,0.99,0.0,0.0,0,0.0,34156.5319999999,7047.137999999897,25.99518823622504
1J2069H7,MA10,0,W05-25,13786.495,22966.493,0.0,0.0,0.0,0.0,0,0.0,19657.4019999999,5870.906999999899,42.58447850595745
1P205930,MA10,0,W05-25,41716.479,3183.853,0.0,18005.22,0.0,0.0,0,0.0,35232.15,-6484.328999999998,-15.543807040857876
1P205950,MA10,0,W05-25,1640.025,0.0,0.0,0.0,0.0,0.0,0,0.0,2012.4,372.375,22.70544656331458
1P207130,MA10,0,W05-25,1322.5,693.23,0.0,0.0,0.0,0.0,0,0.0,1540.15,217.6500000000001,16.457466918714562
1P305930,MA10,0,W05-25,12656.15,2809.729,0.0,0.0,0.0,0.0,0,0.0,16845.2999999999,4189.149999999901,33.09971831876125
1P305950,MA10,0,W05-25,3287.6,752.41,1300.0,0.0,0.0,0.0,0,0.0,8194.2,4906.6,149.24565032242367
1R704141,MA10,0,W05-25,1414.26,0.0,13000.0,0.0,0.0,0.0,0,0.0,4473.0,3058.74,216.27847779050526
